name,energy,protein,lipid,carbohydrate,calcium,iron,vitaminE,vitaminB1,vitaminB2,vitaminC,cholesterol,solt
ナン,2.62,0.103,0.034,0.476,0.11,0.008,0.007,0.0013,0.0006,0,0,0.013
生うどん,2.7,0.061,0.006,0.568,0.18,0.003,0.003,0.0009,0.0003,0,0,0.025
うどん,1.05,0.026,0.004,0.216,0.06,0.002,0.001,0.0002,0.0001,0,0,0.003
うどん乾,3.48,0.085,0.011,0.719,0.17,0.006,0.004,0.0008,0.0002,0,0,0.043
そうめん乾,3.56,0.095,0.011,0.727,0.17,0.006,0.004,0.0008,0.0002,0,0,0.038
ひやむぎ乾,3.56,0.095,0.011,0.727,0.17,0.006,0.004,0.0008,0.0002,0,0,0.038
そうめん,1.05,0.026,0.004,0.216,0.06,0.002,0.001,0.0002,0.0001,0,0,0.003
ひやむぎ,1.05,0.026,0.004,0.216,0.06,0.002,0.001,0.0002,0.0001,0,0,0.003
生中華めん,2.81,0.086,0.012,0.557,0.21,0.005,0.002,0.0002,0.0002,0,0,0.01
中華めん,1.49,0.049,0.006,0.292,0.2,0.003,0.001,0.0001,0.0001,0,0,0.002
蒸し中華めん,1.98,0.053,0.017,0.384,0.09,0.003,0.001,0.0001,0.0001,0,0,0.004
中華めん乾,3.65,0.105,0.016,0.73,0.18,0.007,0.002,0.0003,0.0003,0,0,0.013
沖縄そば,1.47,0.052,0.008,0.28,0.09,0.004,0.002,0.0001,0.0002,0,0,0.004
沖縄そば乾,3.51,0.12,0.017,0.678,0.23,0.015,0.001,0.0012,0.0005,0,0,0.043
即席中華めん 油揚げ味付け,4.45,0.101,0.167,0.635,4.3,0.01,0.036,0.0146,0.0167,0,0.07,0.064
即席中華めん 油揚げ,4.58,0.101,0.191,0.614,2.3,0.009,0.026,0.0055,0.0083,0,0.03,0.056
即席中華めん 非油揚げ,3.56,0.103,0.052,0.671,1.1,0.008,0.018,0.0021,0.0004,0,0.02,0.069
スナックめん,4.48,0.107,0.197,0.569,1.9,0.013,0.03,0.0068,0.0053,0.01,0.34,0.069
マカロニ,3.78,0.13,0.022,0.722,0.18,0.014,0.004,0.0019,0.0006,0,0,0
スパゲッティ,3.78,0.13,0.022,0.722,0.18,0.014,0.004,0.0019,0.0006,0,0,0
